ï»¿Position,Angle,Speed,HIC15,HIC36,HIC15 class,HIC36 class,DAB,CAB
1,0,20,39.27,69.82,0,0,No,Recommended
1,15,20,21.51,38.19,0,0,No,Recommended
1,30,20,7.413,14.05,0,0,No,No
1,45,20,5.721,10.38,0,0,No,Recommended
1,60,20,5.721,7.24,0,0,No,Recommended
1,75,20,5.721,5.721,0,0,No,Recommended
1,-15,20,15.38,32,0,0,No,Recommended
1,-30,20,14.54,24.37,0,0,No,Recommended
1,-45,20,5.721,12.02,0,0,No,No
1,-60,20,5.721,5.933,0,0,No,No
1,-75,20,5.72,6.432,0,0,No,No
2,0,20,24.52,35.08,0,0,No,Recommended
2,15,20,18.17,34.77,0,0,No,Recommended
2,30,20,8.456,18.12,0,0,No,Recommended
2,45,20,6.085,13.49,0,0,No,Recommended
2,60,20,5.721,8.604,0,0,No,Recommended
2,75,20,5.725,5.879,0,0,No,Recommended
2,-15,20,16.77,28.12,0,0,No,Recommended
2,-30,20,5.721,11.21,0,0,No,Recommended
2,-45,20,5.723,6.419,0,0,No,No
2,-60,20,5.721,5.897,0,0,No,No
2,-75,20,5.721,7.67,0,0,No,No
3,0,20,26.45,39.13,0,0,No,Recommended
3,15,20,7.56,15,0,0,No,Recommended
3,30,20,7.489,15.82,0,0,No,Recommended
3,45,20,8.928,15.46,0,0,No,Recommended
3,60,20,5.721,9.479,0,0,No,Recommended
3,75,20,5.721,5.721,0,0,No,Recommended
3,-15,20,12.78,24.08,0,0,No,Recommended
3,-30,20,5.72,11.49,0,0,No,No
3,-45,20,5.72,8.473,0,0,No,No
3,-60,20,5.721,7.988,0,0,No,No
3,-75,20,5.721,7.631,0,0,No,No
4,0,20,5.721,11.14,0,0,No,Recommended
4,15,20,24.48,35.54,0,0,No,Recommended
4,30,20,8.569,17.13,0,0,No,Recommended
4,45,20,5.721,10.44,0,0,No,Recommended
4,60,20,118.2,184.5,0,0,No,Recommended
4,75,20,67.53,67.53,0,0,No,Recommended
4,-15,20,5.721,9.845,0,0,No,Recommended
4,-30,20,7.339,15.64,0,0,No,No
4,-45,20,5.721,8.349,0,0,No,No
4,-60,20,5.723,8.412,0,0,No,No
4,-75,20,5.721,8.439,0,0,No,No
5,0,20,28.03,48.99,0,0,No,Recommended
5,15,20,9.834,20.33,0,0,No,Recommended
5,30,20,12.67,21.88,0,0,No,Recommended
5,45,20,33.42,33.42,0,0,No,Recommended
5,60,20,5.721,10.67,0,0,No,Recommended
5,75,20,90.34,132.5,0,0,No,Recommended
5,-15,20,7.584,16.42,0,0,No,Recommended
5,-30,20,5.721,5.867,0,0,No,Recommended
5,-45,20,6.633,12.14,0,0,No,No
5,-60,20,5.721,11.04,0,0,No,No
6,0,20,80.75,80.75,0,0,No,Recommended
6,15,20,45.5,77.59,0,0,No,Recommended
6,30,20,190.1,190.1,0,0,No,Recommended
6,45,20,70.17,70.17,0,0,No,Recommended
6,60,20,684.4,684.4,3,1,No,Must
6,75,20,14.03,17.11,0,0,No,Recommended
6,-15,20,9.394,17,0,0,No,Recommended
6,-30,20,6.241,12.67,0,0,No,Recommended
6,-45,20,5.72,12.17,0,0,No,Recommended
7,0,20,60.08,89.28,0,0,No,Recommended
7,15,20,30.72,30.72,0,0,No,Recommended
7,30,20,98.42,119.5,0,0,No,Recommended
7,45,20,301.7,301.7,0,0,No,Recommended
7,60,20,953.7,953.7,4,3,No,Must
7,75,20,407.9,407.9,0,0,No,Recommended
7,-15,20,38.64,42.3,0,0,No,Recommended
7,-30,20,5.721,8.059,0,0,No,Recommended
-2,0,20,17.99,31.52,0,0,No,Recommended
-2,15,20,17.51,27.14,0,0,No,Recommended
-2,30,20,7.081,14.27,0,0,No,Recommended
-2,45,20,8.064,16.05,0,0,No,Recommended
-2,60,20,5.721,9.093,0,0,No,No
-2,75,20,5.721,5.721,0,0,No,No
-2,-15,20,15.99,29.84,0,0,No,No
-2,-30,20,9.138,17.09,0,0,No,Recommended
-2,-45,20,5.721,7.055,0,0,No,No
-2,-60,20,5.725,5.725,0,0,No,Recommended
-2,-75,20,5.721,5.721,0,0,No,Recommended
-3,0,20,19.53,38.33,0,0,No,Recommended
-3,15,20,8.077,15.64,0,0,No,Recommended
-3,30,20,7.368,16.45,0,0,No,No
-3,45,20,5.721,9.543,0,0,No,No
-3,60,20,5.915,10.44,0,0,No,No
-3,75,20,5.721,7.841,0,0,No,No
-3,-15,20,20,39.28,0,0,No,Recommended
-3,-30,20,5.721,5.721,0,0,No,Recommended
-3,-45,20,5.721,5.721,0,0,No,Recommended
-3,-60,20,5.721,5.721,0,0,No,Recommended
-3,-75,20,5.721,5.721,0,0,No,Recommended
-4,0,20,14.94,31.18,0,0,No,No
-4,15,20,9.431,18.34,0,0,No,No
-4,30,20,7.887,15.67,0,0,No,No
-4,45,20,5.721,9.143,0,0,No,No
-4,60,20,5.721,9.139,0,0,No,No
-4,75,20,5.721,6.662,0,0,No,No
-4,-15,20,6.334,12.08,0,0,No,No
-4,-30,20,5.721,6.054,0,0,No,No
-4,-45,20,5.721,5.721,0,0,No,Recommended
-4,-60,20,5.721,5.721,0,0,No,Recommended
-4,-75,20,5.721,5.721,0,0,No,Recommended
-5,0,20,5.721,10.77,0,0,No,No
-5,15,20,12.8,22.31,0,0,No,No
-5,30,20,9.018,16.57,0,0,No,No
-5,45,20,5.721,9.248,0,0,No,No
-5,60,20,5.721,8.811,0,0,No,No
-5,75,20,5.721,6.625,0,0,No,No
-5,-15,20,5.721,6.669,0,0,No,No
-5,-30,20,5.721,5.721,0,0,No,No
-5,-45,20,5.721,6.993,0,0,No,No
-5,-60,20,5.721,5.721,0,0,No,No
-6,0,20,5.725,5.725,0,0,No,No
-6,15,20,5.721,10.7,0,0,No,No
-6,30,20,8.855,16.96,0,0,No,No
-6,45,20,5.721,8.848,0,0,No,No
-6,60,20,5.721,5.721,0,0,No,No
-6,75,20,5.721,7.974,0,0,No,No
-6,-15,20,5.721,5.721,0,0,No,No
-6,-30,20,5.721,5.721,0,0,No,No
-6,-45,20,5.725,5.725,0,0,No,No
-7,0,20,5.725,8.425,0,0,No,No
-7,15,20,5.721,5.721,0,0,No,No
-7,30,20,5.721,8.776,0,0,No,No
-7,45,20,5.721,9.789,0,0,No,No
-7,60,20,5.721,5.854,0,0,No,No
-7,75,20,5.721,5.721,0,0,No,No
-7,-15,20,5.721,5.721,0,0,No,No
-7,-30,20,5.725,5.725,0,0,No,No
1,0,30,130.6,198.4,0,0,Recommended,Recommended
1,15,30,91.72,181.9,0,0,No,Recommended
1,30,30,46.36,90.36,0,0,No,Recommended
1,45,30,21.74,44.16,0,0,No,Recommended
1,60,30,17.51,35.04,0,0,No,Recommended
1,75,30,92.28,92.28,0,0,No,Recommended
1,-15,30,60.65,133.6,0,0,No,No
1,-30,30,52.95,87.26,0,0,No,Recommended
1,-45,30,31.11,57.09,0,0,No,Recommended
1,-60,30,16.57,32.36,0,0,No,No
1,-75,30,11.75,17.59,0,0,No,No
2,0,30,94.67,193.4,0,0,Recommended,Recommended
2,15,30,74.68,144.5,0,0,No,Recommended
2,30,30,90.64,125.7,0,0,No,Recommended
2,45,30,102,145.8,0,0,No,Recommended
2,60,30,62.65,62.65,0,0,No,Recommended
2,75,30,52.15,52.15,0,0,No,Recommended
2,-15,30,70.68,139.1,0,0,Recommended,Recommended
2,-30,30,39.19,76.45,0,0,No,Recommended
2,-45,30,37.49,54.7,0,0,No,No
2,-60,30,28.97,45.05,0,0,No,Recommended
2,-75,30,10.43,17.73,0,0,No,No
3,0,30,100.1,212.9,0,0,Recommended,No
3,15,30,58.85,112.3,0,0,No,Recommended
3,30,30,527.6,582.3,1,0,No,Recommended
3,45,30,253.2,363.5,0,0,No,Recommended
3,60,30,49.65,49.65,0,0,No,Recommended
3,75,30,35.29,35.29,0,0,No,Recommended
3,-15,30,91.63,117.4,0,0,No,Recommended
3,-30,30,59.13,81.96,0,0,No,Recommended
3,-45,30,41.34,59.87,0,0,No,No
3,-60,30,17.88,33.45,0,0,No,No
3,-75,30,13.85,20.06,0,0,No,No
4,0,30,78.34,101.9,0,0,No,Recommended
4,15,30,70.53,125.8,0,0,No,Recommended
4,30,30,141.4,178,0,0,No,Recommended
4,45,30,256.9,432.2,0,0,No,Recommended
4,60,30,16.83,24.4,0,0,No,Recommended
4,75,30,43.09,43.09,0,0,No,Recommended
4,-15,30,55.89,91.35,0,0,No,Recommended
4,-30,30,60.3,95.28,0,0,No,Recommended
4,-45,30,32.14,59.59,0,0,No,No
4,-60,30,21.51,36.75,0,0,No,No
4,-75,30,17.15,24.37,0,0,No,No
5,0,30,101.7,116.3,0,0,No,Recommended
5,15,30,76.65,130.2,0,0,No,Recommended
5,30,30,60.33,122.9,0,0,No,Recommended
5,45,30,29.31,55.53,0,0,No,Recommended
5,60,30,34.73,42.47,0,0,No,Recommended
5,75,30,58.89,58.89,0,0,No,Recommended
5,-15,30,19.57,37.51,0,0,No,Recommended
5,-30,30,24.57,40.82,0,0,No,Recommended
5,-45,30,36.21,48.25,0,0,No,Recommended
5,-60,30,26.08,41.58,0,0,No,Recommended
6,0,30,70.49,88.29,0,0,No,Recommended
6,15,30,74.38,129.4,0,0,No,Recommended
6,30,30,43.67,96.74,0,0,No,Recommended
6,45,30,1266,1266,4,4,No,Must
6,60,30,2425,2425,4,4,No,Must
6,75,30,39.28,49.69,0,0,No,Recommended
6,-15,30,94.36,94.36,0,0,No,Recommended
6,-30,30,28.08,58.87,0,0,No,No
6,-45,30,8.302,17.61,0,0,No,Recommended
7,0,30,320.9,320.9,0,0,No,Recommended
7,15,30,196.2,196.5,0,0,No,Recommended
7,30,30,132,183,0,0,No,Recommended
7,45,30,485.7,485.7,0,0,No,Recommended
7,60,30,1467,1467,4,4,No,Must
7,75,30,2764,2764,4,4,No,Must
7,-15,30,23.69,52.37,0,0,No,Recommended
7,-30,30,7.337,16.63,0,0,No,Recommended
-2,0,30,117.4,203.2,0,0,Recommended,No
-2,15,30,99.3,153.1,0,0,Recommended,Recommended
-2,30,30,45.54,79.21,0,0,No,No
-2,45,30,24.32,50.19,0,0,No,No
-2,60,30,14.65,24.53,0,0,No,No
-2,75,30,10.4,17.45,0,0,No,No
-2,-15,30,76.94,152.3,0,0,No,No
-2,-30,30,53.46,83.46,0,0,No,Recommended
-2,-45,30,15.54,27.16,0,0,No,Recommended
-2,-60,30,9.767,18.49,0,0,No,Recommended
-2,-75,30,5.918,12.3,0,0,No,Recommended
-3,0,30,99.96,169.8,0,0,Recommended,No
-3,15,30,49.86,92.71,0,0,No,No
-3,30,30,67.19,101.3,0,0,No,No
-3,45,30,32.68,58.69,0,0,No,No
-3,60,30,15.78,32.18,0,0,No,No
-3,75,30,14.98,26.43,0,0,No,No
-3,-15,30,40.34,85.7,0,0,No,No
-3,-30,30,27.11,44.38,0,0,No,No
-3,-45,30,13.28,23.35,0,0,No,Recommended
-3,-60,30,7.066,13.89,0,0,No,Recommended
-3,-75,30,11.7,13.58,0,0,No,Recommended
-4,0,30,64.61,103.1,0,0,No,No
-4,15,30,54.94,105.3,0,0,Recommended,No
-4,30,30,70.45,106.1,0,0,No,No
-4,45,30,28.77,54.8,0,0,No,No
-4,60,30,20.71,34.93,0,0,No,No
-4,75,30,51.82,53.46,0,0,No,No
-4,-15,30,37.35,65.78,0,0,No,No
-4,-30,30,11.79,23.09,0,0,No,Recommended
-4,-45,30,12.56,24.3,0,0,No,Recommended
-4,-60,30,6.203,13.29,0,0,No,Recommended
-4,-75,30,5.759,9.946,0,0,No,Recommended
-5,0,30,16.87,36.3,0,0,No,No
-5,15,30,36.42,69.1,0,0,No,No
-5,30,30,29.85,53.47,0,0,No,No
-5,45,30,21.42,42.7,0,0,No,No
-5,60,30,16.61,29.87,0,0,No,No
-5,75,30,10.2,18.88,0,0,No,No
-5,-15,30,8.473,16.29,0,0,No,No
-5,-30,30,7.435,15,0,0,No,No
-5,-45,30,24.54,41.3,0,0,No,Recommended
-5,-60,30,6.556,14.38,0,0,No,Recommended
-6,0,30,11.69,20.42,0,0,No,No
-6,15,30,16.17,33.43,0,0,No,No
-6,30,30,27.02,40.46,0,0,No,No
-6,45,30,14.38,26.74,0,0,No,No
-6,60,30,7.385,14.29,0,0,No,No
-6,75,30,13.63,23.65,0,0,No,No
-6,-15,30,14.94,27.12,0,0,No,No
-6,-30,30,5.752,9.857,0,0,No,No
-6,-45,30,6.968,12.66,0,0,No,No
-7,0,30,34.13,71.91,0,0,No,No
